Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5cMz4MvDCjKQ93OLvNdTD0,"Insensitive Tempo","cut. turn. fade. back.","Hail The Sun",2025-10-24,265079,21,false,,2026-03-12T18:05:50Z,"post-hardcore,math rock,emo,screamo","Rude Records Equal Vision",0.155,0.937,1,-4.613,1,0.135,0.00111,0,0.109,0.303,93.131,3
spotify:track:2ipIPsgrgd0j2beDf4Ki70,"Mystical Magical","American Heart","Benson Boone",2025-06-20,165746,84,false,,2026-03-11T16:52:03Z,"","Night Street Records, Inc./Warner Records Inc.",0.671,0.697,11,-3.851,1,0.116,0.19,0,0.393,0.848,119.867,4
spotify:track:59tskctgqUmjCWAwhzYAFm,"Looking at Me","Singular Act II","Sabrina Carpenter",2019-07-19,181120,75,false,,2026-03-11T11:35:23Z,"pop","Hollywood Records",0.681,0.798,2,-4.367,1,0.0375,0.00398,0.00000511,0.0542,0.516,105.99,4
spotify:track:5PFjKfGf75I3LkKGiReWp5,"Tough Luck","A Matter of Time","Laufey",2025-08-22,192866,67,true,,2026-03-09T17:40:34Z,"","Vingolf Recordings",0.678,0.399,6,-6.96,1,0.0367,0.463,0,0.117,0.233,117.973,4
spotify:track:6WC5fhc9XMaCrUNKNjm9xE,"Thumbs","EVOLution","Sabrina Carpenter",2016-10-14,216466,72,false,,2026-03-09T17:13:29Z,"pop","Hollywood Records",0.73,0.718,8,-3.496,1,0.0478,0.0284,0,0.0892,0.127,135.045,4
spotify:track:1NXbNEAcPvY5G1xvfN57aA,"Dracula","Deadbeat","Tame Impala",2025-10-17,205308,85,true,,2026-03-09T16:18:29Z,"neo-psychedelic,indie","Columbia",0.415,0.731,3,-3.507,0,0.0586,0.0267,0.0000458,0.317,0.612,114.837,4
spotify:track:3PGPfeQTaZgHnmofWYBHSW,"The Barber of Seville: Overture","Rossini - Ouvertures","Gioachino Rossini;Leonard Bernstein;New York Philharmonic",1961,453066,49,false,,2026-02-25T09:31:17Z,"classical,opera,orchestral","Sony Music Media",0.324,0.218,4,-16.495,1,0.0592,0.936,0.684,0.249,0.535,174.556,4
spotify:track:3XeHVrTKlricOyk5VsVKxd,"Breakin' Dishes","Good Girl Gone Bad: Reloaded","Rihanna",2007-03-31,200573,70,false,,2026-02-20T13:32:29Z,"","Def Jam Recordings",0.803,0.677,8,-4.183,0,0.0311,0.000206,0.000106,0.0905,0.894,125.007,4
spotify:track:2hdy9Wt9qp7M7d0U3ossu2,"If U Seek Amy","Circus (Deluxe Version)","Britney Spears",2008-12-02,216519,74,false,,2026-02-20T13:27:12Z,"pop","Jive",0.717,0.587,4,-7.296,0,0.0339,0.0192,0,0.0523,0.544,129.954,4
spotify:track:2EAAYKwJ2N36DfQPHxw3nP,"YOU'RE NEXT","YOU'RE NEXT","Moon Walker",2026-02-13,267376,60,false,,2026-02-13T18:38:44Z,"","Moon Walker",0.538,0.747,4,-8.098,0,0.0298,0.0395,0.00538,0.0841,0.27,105.984,4
spotify:track:2JxftzENN2rhpXxnOmtQBR,"My Prerogative","Greatest Hits: My Prerogative","Britney Spears",2004-11-08,213893,58,false,,2026-02-12T22:08:11Z,"pop","Jive",0.749,0.938,10,-4.423,0,0.118,0.0127,0.00000196,0.103,0.619,111.014,4
spotify:track:52K4Nl7eVNqUpUeJeWJlwT,"Break the Ice","Blackout","Britney Spears",2007-10-25,196043,65,false,,2026-02-11T20:40:56Z,"pop","Jive",0.712,0.911,5,-3.866,0,0.0445,0.689,0.00000802,0.107,0.85,117.533,4
spotify:track:5xohcwt1FZVGBzdfNRMhfp,"Slumber Party","Glory (Deluxe)","Britney Spears",2020-12-11,214080,55,true,,2026-02-11T20:37:06Z,"pop","RCA Records Label",0.733,0.784,9,-7.023,0,0.0715,0.227,0,0.0766,0.455,135.028,4
spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,"...Baby One More Time","...Baby One More Time (Digital Deluxe Version)","Britney Spears",1999-01-12,211066,84,false,,2026-02-11T10:41:00Z,"pop","Jive",0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,4
spotify:track:7c8EKQLv5ld1uWm1BdGqds,"Shostakovich / Arr. Atovmyan: Suite from the Gadfly, Op. 97a: VIII. Romance","Virtuoso Violin","Dmitri Shostakovich;Tasmin Little;Piers Lane",1992,194266,61,false,,2026-02-10T10:08:10Z,"classical,chamber music,orchestral","Warner Classics",0.113,0.0732,0,-23.21,1,0.0496,0.969,0.772,0.107,0.0379,174.599,4
