Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:52lJakcAPTde2UnuvEqFaK,"Requiem: IIa. Dies irae","Verdi: Messa da Requiem","Giuseppe Verdi;Mariinsky Chorus;Mariinsky Orchestra;Valery Gergiev",2001-03-20,128240,49,false,hbw4ryylwibkbkfi9w8v1nedt,2021-09-13T02:43:54Z,"opera,classical,ballet,orchestral","Decca Music Group Ltd.",0.173,0.399,0,-12.545,0,0.0403,0.94,0.947,0.12,0.109,88.009,4
spotify:track:1yDMhYWLoowGJE9t1qstQQ,"Firebird Suite: The Infernal Dance","Stravinsky: Rite of Spring, Firebird Suite, Scherzo, Tango","Igor Stravinsky;Iván Fischer;Budapest Festival Orchestra",2012-03-01,280586,0,false,hbw4ryylwibkbkfi9w8v1nedt,2021-09-13T02:43:57Z,"classical,neoclassical,expressionism,ballet,orchestral,impressionism","Channel Classics Records",0.336,0.274,4,-20,1,0.0587,0.943,0.885,0.151,0.121,158.304,4
spotify:track:1Ojz92vyPK4fJ5K8RVnV5u,"The Four Seasons: Concerto No. 2 in G Minor, RV 315 ""L'estate"" (summer): III. Presto","Vivaldi: The Four Seasons • Concertos for Bassoon & Violin 'in tromba marina'","Antonio Vivaldi;Adrian Chandler;La Serenissima",2015-09-04,167880,64,false,hbw4ryylwibkbkfi9w8v1nedt,2021-09-13T02:44:00Z,"baroque,classical,concerto,early music","AVIE Records",0.34,0.489,7,-15.316,1,0.0412,0.83,0.91,0.141,0.468,157.024,3
spotify:track:6FIES8iEfuZ6KUQMOs2T92,"Vivaldi: La stravaganza, Violin Concerto in E Minor, Op. 4 No. 2, RV 279: I. Allegro","Vivaldi: La Stravaganza","Antonio Vivaldi;Europa Galante;Fabio Biondi",2011-01-01,254653,52,false,hbw4ryylwibkbkfi9w8v1nedt,2021-09-13T02:44:03Z,"baroque,classical,concerto,early music","Warner Classics",0.408,0.334,3,-14.615,0,0.0365,0.84,0.248,0.112,0.562,109.095,4
spotify:track:7HSs4srn1qnZhh7WRWBVOk,"Prokofiev: Romeo and Juliet, Op. 64, Act 1: Dance of the Knights","Prokofiev: Romeo and Juliet","Sergei Prokofiev;André Previn;London Symphony Orchestra",1973,341693,60,false,hbw4ryylwibkbkfi9w8v1nedt,2021-10-21T07:04:51Z,"classical,ballet,neoclassical,orchestral,opera","Warner Classics",0.21,0.101,0,-19.383,1,0.0403,0.927,0.902,0.0776,0.153,86.314,4
spotify:track:6ijP8nX229lru6paMOhwFr,"Tina Takes Newt In / Macusa Headquarters","Fantastic Beasts and Where to Find Them (Original Motion Picture Soundtrack)","James Newton Howard",2016-11-18,116189,44,false,hbw4ryylwibkbkfi9w8v1nedt,2022-05-25T07:19:42Z,"soundtrack,score","WaterTower Music",0.32,0.253,2,-18.956,0,0.0463,0.842,0.641,0.121,0.169,170.534,3
spotify:track:1UvaZaHkh3D9AkmBrrnbFg,"Lacrimosa","Requiem - Music To Die For","Wolfgang Amadeus Mozart;Lisa Beckley;Elena Filipova;Magdaléna Hajóssyová;Peter Mikulas;Michel Piquemal;Gloria Scalchi;Michel Piquemal Vocal Ensemble;Hungarian State Opera Chorus;Oxford Schola Cantorum;Slovak Philharmonic Chorus;Hungarian State Opera Orchestra;Orchestre De La Cite;Oxford Camerata;Slovak Philharmonic",1999-04-26,205493,1,false,hbw4ryylwibkbkfi9w8v1nedt,2022-07-23T14:05:07Z,"classical,opera,classical piano,chamber music,concerto,choral,early music,renaissance,medieval,gregorian chant,baroque,catholic music,orchestral","Naxos",0.0847,0.0856,2,-24.716,0,0.0405,0.964,0.592,0.289,0.0764,84.245,4
spotify:track:5h1Y863CC9UeyKuDImtpOb,"Symphony No. 6: i. Allegro energico, ma non troppo","Mahler: Symphonies Nos 1-9","Gustav Mahler;Valery Gergiev;London Symphony Orchestra",2012-10-22,1319133,0,false,hbw4ryylwibkbkfi9w8v1nedt,2022-03-14T07:57:37Z,"classical,orchestral,ballet,opera","LSO Live",0.246,0.131,5,-20.858,1,0.0369,0.922,0.746,0.119,0.0858,134.702,4
spotify:track:3IvbyVYgQEKqvwQhquFKNn,"Moon Knight - From ""Moon Knight""","Moon Knight (From ""Moon Knight"")","Hesham Nazih",2022-03-30,128800,0,false,hbw4ryylwibkbkfi9w8v1nedt,2022-04-06T10:18:11Z,"","Hollywood Records",0.18,0.515,0,-11.48,1,0.0513,0.181,0.0297,0.306,0.0942,94.246,3
spotify:track:2bw4WgXyXP90hIex7ur58y,"The Imperial March (Darth Vader's Theme)","Star Wars: The Empire Strikes Back (Original Motion Picture Soundtrack)","John Williams;London Symphony Orchestra",1980-01-01,179573,61,false,hbw4ryylwibkbkfi9w8v1nedt,2022-04-06T12:07:31Z,"soundtrack,score,classical,orchestral,ballet,opera","Walt Disney Records",0.577,0.379,7,-13.82,0,0.0368,0.753,0.955,0.126,0.284,103.112,4
